Far Cry® 5,990.000,8.0,NVIDIA GeForce GTX 670 or AMD R9 270 (2GB VRAM with Shader Model 5.0 or better),40.0,Open World Action FPS Co-op Multiplayer Adventure Shooter First-Person Singleplayer America Stealth Survival Story Rich Hunting Exploration Atmospheric Character Customization Great Soundtrack Sexual Content Nudity,26 Mar, 2018,,0
太吾绘卷 The Scroll Of Taiwu,229.500,4.0,HD4400,6.0,Early Access RPG Strategy Sandbox Martial Arts Indie Early Access Adventure Casual Rogue-lite Open World Singleplayer Simulation Building Dating Sim Mythology Rogue-like,21 Sep, 2018,14586,90
Return of the Obra Dinn,188.000,4.0,Discrete GPU,2.0,Mystery Singleplayer Story Rich Detective Atmospheric Indie Puzzle Multiple Endings Adventure Violent Historical Retro Difficult Pirates Naval Third Person Horror Great Soundtrack Noir Point & Click,18 Oct, 2018,1690,98
SCUM,188.000,8.0,NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB,20.0,Early Access Survival Open World Multiplayer Zombies Early Access Massively Multiplayer Action Adventure Realistic Violent Crafting FPS Nudity Singleplayer Third Person PvP Gore Indie RPG,29 Aug, 2018,,0
FOR HONOR™,249.000,4.0,NVIDIA GeForce GTX660/GTX750ti/GTX950/GTX1050 with 2 GB VRAM or more | AMD Radeon HD6970/HD7870/R9 270/R9 370/RX460 with 2 GB VRAM or more,40.0,Medieval Action Swordplay Multiplayer PvP Third Person Fighting War Co-op Singleplayer Gore Online Co-Op Hack and Slash Realistic Strategy Atmospheric RPG Fantasy MOBA Story Rich,13 Feb, 2017,,0
Sunset Overdrive,188.000,8.0,Geforce 750 Ti || AMD Radeon R7 260X,30.0,Action Adventure Violent Open World Funny Third-Person Shooter Comedy Singleplayer Character Customization Parkour Great Soundtrack Colorful Post-apocalyptic Third Person Zombies,16 Nov, 2018,1536,90
Shadow of the Tomb Raider,Not Available,8.0,Nvidia GTX 660/GTX 1050 or AMD Radeon HD 7770,40.0,Adventure Action Lara Croft Female Protagonist Story Rich Third Person Singleplayer Puzzle Open World Stealth Action-Adventure Violent Survival Exploration Gore Atmospheric Shooter Great Soundtrack Dark Heist,14 Sep, 2018,7747,71
World War 3,330.000,8.0,Geforce GTX 770 or AMD Radeon HD 7870,45.0,Early Access FPS Multiplayer War Early Access Military Action Shooter First-Person Realistic Violent Indie Gore Tactical Singleplayer Massively Multiplayer Atmospheric Difficult Adventure Open World,19 Oct, 2018,,0
Equilinox,120.000,2.0,Intel HD 4000 or better, capable of OpenGL 3.3+ support,0.29296875,Simulation Indie Casual Sandbox Singleplayer Relaxing Great Soundtrack Atmospheric,23 Nov, 2018,593,97
PlanetSide 2,0,6.0,,0,Free to Play Massively Multiplayer FPS Shooter Action Open World Team-Based Multiplayer Sci-fi Tactical War First-Person Futuristic PvP Co-op Online Co-Op Strategy Space Adventure RPG,20 Nov, 2012,42893,82
